¿Cuántos años tienes?,¿Con qué género te identificas?,¿A qué te dedicas actualmente?,¿En cual de las siguientes opciones prefieres anotar tus actividades?,"En una escala del 1 al 5, tomando en cuenta a 1 como muy raramente y 5 como muy frecuentemente, ¿cuán frecuentemente olvidas realizar tus actividades y tareas? ","En una escala del 1 al 5, tomando en cuenta a 1 como muy poco y 5 como muy cómodo/a, ¿Cómo tan cómodo/a te sientes al anotar tareas? ","Si tuvieras una aplicación para registrar todas tus actividades, ¿para qué ámbitos la usarías?","En una escala del 1 al 5, tomando en cuenta a 1 como nada y 5 como mucho, ¿Cuánto crees que te ayudaría una aplicación móvil para anotar tus actividades en tu productividad? ","En una escala del 1 al 5, tomando en cuenta a 1 como nada y 5 como mucho, ¿Cuánto te gusta que tu equipo de trabajo tenga un chat de mensajes?","En una escala del 1 al 5, tomando en cuenta a 1 como nada y 5 como mucho, ¿te gustaría que tu equipo de trabajo pudiera ver tus avances individuales?","En una escala del 1 al 5, tomando en cuenta a 1 como nada y 5 como mucho, ¿Cuánto te gustaría recibir notificaciones para recordarte las tareas pendientes?",¿De cuántas personas consta tu equipo de trabajo?,"En una escala del 1 al 5, tomando en cuenta a 1 como nada y 5 como mucho, ¿te gustaría organizar tus actividades por tipos o categorías?","En una escala del 1 al 5, tomando en cuenta a 1 como nada y 5 como mucho, ¿te gustaría dividir tus tareas en subtareas para monitorear tu progreso?","En una escala del 1 al 5, tomando en cuenta a 1 como nada y 5 como mucho, ¿Cuánto consideras que una recomendación sobre el orden para realizar tus tareas te ayudaría a mejorar tu productividad?","En una escala del 1 al 5, tomando en cuenta a 1 como nada y 5 como mucho, ¿consideras que el no tener anotadas tus tareas contribuye a la procrastinación?",¿Cómo te gustaría monitorear los avances en tus actividades? ,"En una escala del 1 al 5, tomando en cuenta a 1 como nada y 5 como mucho, ¿Cuánto te agrada obtener una gráfica de cómo fueron tus avances de productividad durante la semana?",¿Qué tipo de gráfica consideras que refleja mejor tus avances de tareas?,"En una escala del 1 al 5, tomando en cuenta a 1 como nada y 5 como mucho, ¿Qué tan importante crees que sea identificar por colores las actividades completadas de las que no?","En una escala del 1 al 5, tomando en cuenta a 1 como nada y 5 como mucho,  ¿Qué tan importante crees que sería para ti que la aplicación ofrezca la opción de cambiar entre temas además del claro y oscuro?",¿Con qué color asocias más que una tarea está completada?,¿Con qué color asocias más que una tarea está en proceso o con avances?,¿Con qué color asocias más que una tarea está sin iniciar o no fue hecha?,"En una escala del 1 al 5, tomando en cuenta a 1 como nada y 5 como mucho, ¿Qué tan interesado estarías en utilizar una aplicación que te ayude a anotar y organizar tus actividades diarias, además de proporcionarte un seguimiento de tus progresos durante la semana?"
21,Prefiero no decirlo,Estudiante,Página de internet,1,3,"Trabajo , escuela , salud , personal",4,2,2,4,1-2 persona,5,5,5,2,Día,2,Histograma,5,5,Azul marino,Amarillo,Azul,4
22,Maculino,Estudio y trabajo,Programa para celular,3,3,"Trabajo , escuela , personal",3,3,3,3,3-5 persona,3,3,3,3,Día,3,No utilizo gráficas,3,3,Verde,Naranja,Rojo,3
22,Maculino,Estudiante,Programa para celular,3,4,"Trabajo , escuela , personal , gestión del hogar",4,4,5,5,1-2 persona,4,5,4,5,Día,4,Lineal,5,2,Verde,Amarillo,Rojo,5
19,Femenino,Estudiante,Programa para celular,2,4,"Trabajo , escuela , personal , deportes",3,4,4,5,6-10 persona,5,5,5,5,Semana,3,Circular,5,5,Verde,Amarillo,Rojo,5
20,Maculino,Estudiante,Libreta o agenda física,2,4,"Trabajo , escuela , personal , gestión del hogar",3,4,4,5,3-5 persona,5,5,3,5,Semana,4,Barra,5,5,Verde,Naranja,Rojo,4
21,Maculino,Estudiante,Programa para celular,5,3,"Trabajo , escuela , personal",5,5,4,5,3-5 persona,4,3,2,5,Día,4,Circular,4,3,Verde,Naranja,Gris,5
20,Maculino,Estudiante,Programa para celular,4,3,Escuela,3,3,3,3,3-5 persona,3,3,3,3,Semana,3,Lineal,3,3,Amarillo,Celeste,Negro,3
21,Maculino,Trabajador,Libreta o agenda física,2,5,Deportes,2,5,3,3,6-10 persona,4,3,4,5,Semana,5,Lineal,5,5,Verde,Amarillo,Gris,4
24,Maculino,Estudiante,Programa para celular,2,4,"Escuela , salud , personal , deportes",4,4,3,5,3-5 persona,3,3,3,4,Semana,3,Barra,5,5,Verde,Amarillo,Rojo,4
21,Maculino,Estudiante,No anoto mi actividades,2,3,"Trabajo , escuela , personal",5,5,5,5,3-5 persona,4,5,4,3,Día,3,Solo con el porcentaje,5,5,Verde,Amarillo,Rojo,5
20,Femenino,Estudiante,Programa para celular,5,2,"Escuela , personal",3,5,4,5,3-5 persona,5,3,4,5,Semana,4,Barra,5,3,Verde,Amarillo,Rojo,3
20,Maculino,Estudiante,Libreta o agenda física,2,5,"Trabajo , escuela , salud , personal , deportes , gestión del hogar",5,5,3,5,3-5 persona,5,5,5,5,Semana,3,Circular,5,5,Blanco,Naranja,Rojo,5
20,Femenino,Estudiante,Libreta o agenda física,1,4,"Trabajo , escuela , personal",4,3,3,5,3-5 persona,5,5,4,3,Día,4,Barra,5,5,Verde,Naranja,Rojo,4
19,Maculino,Estudio y trabajo,Libreta o agenda física,1,3,"Trabajo , escuela , personal , gestión del hogar",3,3,3,4,3-5 persona,4,4,3,3,Día,3,Solo con el porcentaje,5,5,Verde,Celeste,Rojo,4
20,Femenino,Estudiante,Libreta o agenda física,1,5,"Trabajo , escuela",5,4,1,5,3-5 persona,3,5,5,1,Día,1,Barra,5,5,Verde,Amarillo,Rojo,4
20,Maculino,Estudio y trabajo,Libreta o agenda física,3,4,"Trabajo , escuela , salud , personal",5,5,5,4,3-5 persona,2,4,5,2,Día,5,Circular,5,5,Verde,Verde claro,Rojo,5
20,Femenino,Estudiante,Programa para celular,1,4,Todas mi actividades cotidianas,4,3,3,5,1-2 persona,5,4,4,3,Semana,4,Barra,5,4,Verde,Amarillo,Rojo,5
20,Maculino,Estudiante,Programa para celular,4,4,"Trabajo , escuela , personal , gestión del hogar",5,5,5,5,3-5 persona,5,5,5,5,Semana,5,Barra,5,5,Verde,Naranja,Rojo,4
20,Maculino,Estudiante,Programa para celular,3,4,"Trabajo , escuela , salud , deportes",4,4,2,4,3-5 persona,4,3,5,5,Día,3,Barra,3,3,Verde,Naranja,Rojo,4
16,Maculino,Estudiante,Programa para celular,3,3,"Escuela , deportes",5,3,2,5,3-5 persona,4,3,3,3,Día,4,Solo con el porcentaje,3,5,Verde,Naranja,Rojo,4
19,Maculino,Estudiante,Libreta o agenda física,4,4,Escuela,5,5,5,4,3-5 persona,5,5,5,4,Día,5,Circular,5,5,Verde,Amarillo,Rojo,4
31,Maculino,Estudio y trabajo,Pizarra o tablero visible,2,5,"Trabajo , salud , gestión del hogar",3,5,3,5,3-5 persona,4,4,4,1,Día,3,Circular,3,3,Verde,Amarillo,Rojo,4
21,Maculino,Trabajador,Programa para celular,3,3,"Trabajo , escuela , salud , deportes , gestión del hogar",4,4,4,5,1-2 persona,4,5,4,4,Semana,5,Histograma,4,4,Azul,Celeste,Rojo,4
19,Femenino,Estudiante,No anoto mi actividades,1,1,"Escuela , personal",2,3,2,5,1-2 persona,2,3,2,1,Día,3,Lineal,3,5,Verde,Naranja,Rojo,2
21,Femenino,Estudiante,Libreta o agenda física,2,5,Escuela,4,3,2,4,3-5 persona,5,4,3,4,Semana,4,Barra,5,5,Verde,Amarillo,Rojo,5
21,Maculino,Estudio y trabajo,Programa para celular,5,3,Personal,5,2,5,5,3-5 persona,5,4,5,3,Día,5,Solo con el porcentaje,5,5,Verde,Amarillo,Rojo,5
21,Maculino,Estudio y trabajo,No anoto mi actividades,1,1,"Trabajo , escuela , personal",4,4,3,4,3-5 persona,4,5,4,3,Día,3,Barra,5,4,Verde,Amarillo,Rojo,4
21,Femenino,Desempleado,Libreta o agenda física,3,4,Personal,4,4,3,5,1-2 persona,5,3,5,4,Semana,3,Solo con el porcentaje,5,5,Verde,Amarillo,Rojo,3
21,Femenino,Estudiante,Programa para celular,4,4,"Trabajo , escuela , personal , deportes , gestión del hogar",4,3,2,5,3-5 persona,4,3,5,5,Día,2,Solo con el porcentaje,4,2,Verde,Amarillo,Rojo,5
20,Maculino,Estudio y trabajo,No anoto mi actividades,1,3,Escuela,3,2,1,4,Más de 10 persona,3,3,3,5,Día,4,No utilizo gráficas,2,2,Azul,Celeste,Gris,3
18,Femenino,Estudiante,Programa para celular,2,4,"Trabajo , escuela , personal",4,3,3,4,3-5 persona,4,5,4,3,Día,4,Barra,5,5,Verde,Amarillo,Rojo,5
20,Femenino,Estudiante,Programa para celular,3,4,"Trabajo , escuela , personal",5,4,3,5,3-5 persona,4,3,3,4,Día,2,Barra,5,5,Verde,Naranja,Rojo,5
23,Maculino,Desempleado,No anoto mi actividades,4,3,Personal,3,2,2,4,1-2 persona,3,4,3,4,Día,1,Circular,4,3,Verde,Amarillo,Rojo,3
21,Maculino,Estudiante,Libreta o agenda física,4,3,Escuela,5,3,2,5,3-5 persona,3,4,5,5,Semana,3,Solo con el porcentaje,5,5,Verde,Naranja,Rojo,5
19,Femenino,Estudiante,Libreta o agenda física,4,3,Trabajo,3,2,2,5,3-5 persona,5,4,5,5,Semana,4,Lineal,5,4,Verde,Celeste,Rojo,5
20,Maculino,Estudiante,Programa para celular,2,3,"Trabajo , escuela , salud , personal , gestión del hogar",5,3,1,4,3-5 persona,4,3,4,3,Día,5,Histograma,5,5,Verde,Amarillo,Rojo,5
21,Femenino,Estudiante,Libreta o agenda física,2,3,Escuela,3,5,5,5,1-2 persona,3,3,5,1,Día,4,Histograma,3,4,Verde,Amarillo,Rojo,5
20,Femenino,Estudiante,Libreta o agenda física,2,5,"Escuela , personal",3,3,3,4,1-2 persona,5,5,5,5,Semana,2,No utilizo gráficas,5,5,Azul,Amarillo,Rojo,4
17,Maculino,Estudio y trabajo,No anoto mi actividades,3,1,Escuela,2,4,2,4,3-5 persona,3,3,3,3,Semana,3,Barra,3,3,Verde,Naranja,Rojo,3
20,Femenino,Estudiante,Programa para celular,1,5,"Trabajo , escuela , salud , personal",5,5,2,5,6-10 persona,5,5,5,5,Día,2,No utilizo gráficas,5,5,Verde,Amarillo,Gris,5
21,Femenino,Estudiante,Libreta o agenda física,2,4,"Trabajo , escuela , salud , personal",5,5,5,5,6-10 persona,4,4,4,4,Semana,4,Barra,5,4,Verde,Amarillo,Rojo,5
21,Maculino,Estudiante,Chat personal de whatsapp,4,3,"Trabajo , escuela , personal",3,3,3,5,3-5 persona,3,2,3,4,Día,2,Solo con el porcentaje,4,3,Verde,Celeste,Rojo,3
21,Femenino,Estudiante,No anoto mi actividades,3,3,"Trabajo , escuela , personal , gestión del hogar",4,3,4,5,3-5 persona,5,5,5,5,Día,4,Circular,5,3,Verde,Amarillo,Gris,4
17,Femenino,Estudiante,Página de internet,3,3,Escuela,4,3,2,5,3-5 persona,4,4,3,5,Día,5,Circular,5,5,Verde,Amarillo,Rojo,5
21,Maculino,Estudiante,Programa para celular,4,4,"Escuela , personal",5,4,3,5,3-5 persona,5,5,5,5,Semana,5,Circular,5,5,Verde,Amarillo,Rojo,5
20,Femenino,Estudiante,Libreta o agenda física,1,1,Trabajo,5,2,1,5,3-5 persona,5,3,5,5,Semana,1,Barra,1,2,Verde,Amarillo,Rojo,5
20,Maculino,Estudiante,Ipad,3,4,"Trabajo , escuela , personal , deportes",5,3,3,3,3-5 persona,5,4,4,4,Semana,4,Circular,4,4,Verde,Naranja,Rojo,4
20,Femenino,Trabajador,Libreta o agenda física,3,3,Personal,5,3,5,5,1-2 persona,3,3,5,5,Semana,3,Barra,5,5,Verde,Amarillo,Rojo,4
16,Femenino,Estudiante,Programa para celular,3,5,Escuela,5,3,1,3,3-5 persona,3,3,3,4,Día,3,Barra,3,3,Verde,Naranja,Rojo,3
21,Femenino,Estudiante,No anoto mi actividades,4,3,"Trabajo , escuela , salud , personal , gestión del hogar",5,4,2,5,3-5 persona,5,5,5,5,Semana,4,Lineal,5,2,Verde,Amarillo,Rojo,5
24,Maculino,Estudiante,Libreta o agenda física,1,1,Escuela,4,5,4,3,1-2 persona,3,3,3,3,Día,3,Lineal,4,5,Verde,Naranja,Gris,3
21,Femenino,Estudiante,Programa para celular,2,4,"Escuela , personal",5,4,4,5,3-5 persona,5,5,5,3,Día,3,Circular,4,5,Verde,Naranja,Rojo,5
18,Maculino,Estudiante,No anoto mi actividades,5,3,Escuela,5,3,2,4,1-2 persona,5,3,5,5,Semana,5,Barra,5,5,Azul,Celeste,Rojo,5
17,Femenino,Estudiante,Programa para celular,3,3,"Escuela , personal , gestión del hogar",5,3,3,4,6-10 persona,5,5,5,5,Día,4,Barra,4,4,Verde,Amarillo,Rojo,5
20,Maculino,Estudiante,Programa para celular,4,5,"Trabajo , escuela , salud , personal , deportes , gestión del hogar",5,4,5,5,3-5 persona,5,5,4,4,Semana,4,Lineal,4,5,Verde,Amarillo,Rojo,5
20,Maculino,Estudio y trabajo,Programa para celular,2,4,"Trabajo , escuela",4,4,5,5,3-5 persona,5,5,4,3,Día,5,Lineal,5,2,Verde,Amarillo,Rojo,5
