Marca temporal,¿Qué dispositivo celular utilizas?,¿Cómo creas actualmente tu horario académico?  ,¿Qué tan difícil te resulta organizar tu horario académico cada cuatrimestre?  ,¿Cuánto tiempo te toma hacer tu horario académico?  ,¿Con qué frecuencia debes ajustar tu horario después de haberlo creado?  ,¿Utilizas actualmente alguna aplicación o herramienta digital para organizar tu horario?  (Aparte de la que te otorga la escuela),"Si no utilizas una aplicación, ¿te gustaría utilizar una para organizar tu horario?  ",¿Qué factor consideras más importante al organizar tu horario?  ,¿Qué dispositivo utilizarías más para acceder a la aplicación? ,¿Te gustaría que una aplicación te recomendara un horario personalizado basado en tus preferencias?  ,¿Cómo te gustaría que se presentaran los horarios en la aplicación?  ,¿Qué tan útil te parecería que la aplicación te recordara tus clases con notificaciones?  ,¿Estarías dispuesto/a a pagar por una aplicación que te ayude a crear tu horario académico?  ,¿Te gustaría que la aplicación te permitiera compartir tu horario con otros compañeros?  ,¿Qué tan probable es que uses una aplicación como la descrita para crear tu horario?  ,¿Qué tan importante es para ti que la aplicación tenga una interfaz sencilla y fácil de usar?  ,¿Consideras que una aplicación de este tipo te ayudaría a reducir el estrés relacionado con la creación de horarios?  ,¿Qué tan probable es que recomiendes una aplicación como esta a tus compañeros?  ,¿Te gustaría que la aplicación tuviera un chatbot para resolver dudas técnicas?,"¿Te gustaría que la aplicación incluyera estadísticas sobre tu carga académica, como el número de horas semanales de clase o el tiempo total dedicado a cada materia?  "
2024-09-17 23:24:59.033,Android,Usando herramientas de la institución.,Difícil.,Menos de 1 hora.,Nunca,No.,Sí.,Profesores específicos.,Teléfono móvil.,"Sí, podría ser útil.",En formato de calendario semanal.,Muy útil.,Sí.,"Sí, sería útil.",Muy probable.,Muy importante.,"Sí, mucho.",Muy probable.,"Sí, sería muy útil.",Podría ser interesante.
2024-09-17 23:27:47.820,iOS,"Manualmente, revisando los horarios disponibles.",Difícil.,1-2 horas.,Nunca,No.,Sí.,Disponibilidad de las materias.,Teléfono móvil.,"Sí, podría ser útil.",En formato de calendario semanal.,Moderadamente útil.,Sí.,"Sí, sería útil.",Muy probable.,Moderadamente importante.,"Sí, mucho.",Muy probable.,Podría ser interesante.,Podría ser interesante.
2024-09-17 23:44:26.440,iOS,Usando herramientas de la institución.,Moderado.,Menos de 1 hora.,Nunca,No.,Sí.,Disponibilidad de las materias.,Teléfono móvil.,"Sí, definitivamente.",En formato de calendario semanal.,Moderadamente útil.,Sí.,"Sí, sería útil.",Muy probable.,Muy importante.,"Sí, mucho.",Muy probable.,"Sí, sería muy útil.","Sí, sería muy útil."
2024-09-17 23:47:07.090,iOS,"Manualmente, revisando los horarios disponibles.",Moderado.,Menos de 1 hora.,Nunca,No.,Sí.,Tiempo entre clases.,Teléfono móvil.,"Sí, definitivamente.",En formato de calendario semanal.,Muy útil.,No.,"Sí, sería útil.",Probable.,Moderadamente importante.,Moderadamente.,Muy probable.,"Sí, sería muy útil.","Sí, sería muy útil."
2024-09-17 23:50:47.530,Android,Con la ayuda de aplicaciones externas.,Muy difícil.,2-4 horas.,Pocas veces (1-2 veces).,Sí.,Sí.,Tiempo entre clases.,Teléfono móvil.,"Sí, definitivamente.",En formato de calendario semanal.,Muy útil.,Sí.,"Sí, sería útil.",Muy probable.,Moderadamente importante.,"Sí, mucho.",Muy probable.,"Sí, sería muy útil.","Sí, sería muy útil."
2024-09-17 23:51:19.136,Android,Con la ayuda de aplicaciones externas.,Moderado.,Menos de 1 hora.,Pocas veces (1-2 veces).,No.,Tal vez.,"Compatibilidad con otras actividades (trabajo, vida personal).",Teléfono móvil.,"Sí, podría ser útil.",En una lista de materias y horarios.,Moderadamente útil.,Solo si el costo es bajo.,"Sí, sería útil.",Muy probable.,Muy importante.,"Sí, mucho.",Moderadamente probable.,"Sí, sería muy útil.","Sí, sería muy útil."
2024-09-17 23:51:29.513,iOS,"Manualmente, revisando los horarios disponibles.",Moderado.,1-2 horas.,Pocas veces (1-2 veces).,No.,Tal vez.,Tiempo entre clases.,Computadora portátil.,"No, prefiero hacerlo por mí mismo/a.",En una lista de materias y horarios.,Muy útil.,No.,"No, no lo necesito.",Probable.,Poco importante.,Moderadamente.,Poco probable.,Podría ser interesante.,Podría ser interesante.
2024-09-17 23:54:29.753,Android,Con la ayuda de aplicaciones externas.,Moderado.,Menos de 1 hora.,Pocas veces (1-2 veces).,Sí.,No.,Profesores específicos.,Teléfono móvil.,"Sí, definitivamente.",En formato de calendario semanal.,Poco útil.,No.,"Sí, sería útil.",Poco probable.,Muy importante.,"Sí, mucho.",Poco probable.,No lo necesito.,No lo necesito.
2024-09-17 23:57:15.010,Android,"Manualmente, revisando los horarios disponibles.",Difícil.,Menos de 1 hora.,Pocas veces (1-2 veces).,No.,Sí.,Tiempo entre clases.,Teléfono móvil.,"Sí, podría ser útil.",En una lista de materias y horarios.,Moderadamente útil.,Sí.,"Sí, sería útil.",Probable.,Muy importante.,Moderadamente.,Muy probable.,"Sí, sería muy útil.","Sí, sería muy útil."
2024-09-17 23:57:42.164,Android,Usando herramientas de la institución.,Moderado.,1-2 horas.,Pocas veces (1-2 veces).,Sí.,Sí.,"Compatibilidad con otras actividades (trabajo, vida personal).",Teléfono móvil.,"Sí, definitivamente.",En formato de calendario semanal.,Muy útil.,Sí.,"Sí, sería útil.",Muy probable.,Muy importante.,"Sí, mucho.",Muy probable.,"Sí, sería muy útil.","Sí, sería muy útil."
2024-09-17 23:59:25.507,Android,Con la ayuda de aplicaciones externas.,Muy difícil.,Más de 4 horas.,Muy frecuentemente (más de 5 veces).,Sí.,Sí.,Disponibilidad de las materias.,Teléfono móvil.,"Sí, definitivamente.",En formato de calendario semanal.,Moderadamente útil.,Sí.,"Sí, sería útil.",Muy probable.,Muy importante.,"Sí, mucho.",Moderadamente probable.,Podría ser interesante.,Podría ser interesante.
2024-09-18 00:00:04.503,iOS,"Manualmente, revisando los horarios disponibles.",Moderado.,1-2 horas.,Nunca,No.,Sí.,"Compatibilidad con otras actividades (trabajo, vida personal).",Teléfono móvil.,"Sí, definitivamente.",En formato de calendario semanal.,Muy útil.,Solo si el costo es bajo.,"Sí, sería útil.",Probable.,Moderadamente importante.,"Sí, mucho.",Muy probable.,"Sí, sería muy útil.","Sí, sería muy útil."
2024-09-18 00:00:56.783,iOS,Usando herramientas de la institución.,Fácil.,Menos de 1 hora.,Nunca,No.,Sí.,"Compatibilidad con otras actividades (trabajo, vida personal).",Teléfono móvil.,"Sí, definitivamente.",En formato de calendario semanal.,Muy útil.,No.,No estoy seguro/a.,Probable.,Muy importante.,Moderadamente.,Muy probable.,"Sí, sería muy útil.",No lo necesito.
2024-09-18 00:02:31.102,Android,"Manualmente, revisando los horarios disponibles.",Difícil.,2-4 horas.,Pocas veces (1-2 veces).,No.,Tal vez.,Profesores específicos.,Teléfono móvil.,"Sí, podría ser útil.",En formato de calendario semanal.,Moderadamente útil.,No.,No estoy seguro/a.,Poco probable.,Muy importante.,Moderadamente.,Moderadamente probable.,No lo necesito.,Podría ser interesante.
2024-09-18 00:02:41.700,Android,"Manualmente, revisando los horarios disponibles.",Moderado.,1-2 horas.,Pocas veces (1-2 veces).,Sí.,Sí.,"Compatibilidad con otras actividades (trabajo, vida personal).",Teléfono móvil.,"Sí, definitivamente.",En una lista de materias y horarios.,Muy útil.,Sí.,"Sí, sería útil.",Muy probable.,Moderadamente importante.,"Sí, mucho.",Muy probable.,"Sí, sería muy útil.","Sí, sería muy útil."
2024-09-18 00:04:06.810,Android,"Manualmente, revisando los horarios disponibles.",Muy difícil.,Menos de 1 hora.,Pocas veces (1-2 veces).,Sí.,Sí.,Tiempo entre clases.,Teléfono móvil.,"Sí, definitivamente.",En formato de calendario semanal.,Muy útil.,Sí.,"Sí, sería útil.",Probable.,Moderadamente importante.,Moderadamente.,Moderadamente probable.,"Sí, sería muy útil.","Sí, sería muy útil."
2024-09-18 00:09:45.086,iOS,Con la ayuda de aplicaciones externas.,Fácil.,Menos de 1 hora.,Nunca,Sí.,Sí.,Disponibilidad de las materias.,Teléfono móvil.,"Sí, definitivamente.",En formato de calendario semanal.,Muy útil.,No.,"Sí, sería útil.",Muy probable.,Muy importante.,"Sí, mucho.",Muy probable.,"Sí, sería muy útil.","Sí, sería muy útil."
2024-09-18 17:49:13.923,iOS,Usando herramientas de la institución.,Muy fácil.,Menos de 1 hora.,Nunca,No.,No.,Disponibilidad de las materias.,Computadora portátil.,"Sí, definitivamente.",En formato de calendario semanal.,Poco útil.,No.,"No, no lo necesito.",No la usaría.,Muy importante.,No.,No la recomendaría.,No lo necesito.,Podría ser interesante.
2024-09-18 17:49:24.147,Android,"Manualmente, revisando los horarios disponibles.",Fácil.,Menos de 1 hora.,Nunca,No.,Tal vez.,Profesores específicos.,Computadora portátil.,"Sí, definitivamente.",En formato de calendario semanal.,Moderadamente útil.,Solo si el costo es bajo.,"Sí, sería útil.",Probable.,Muy importante.,"Sí, mucho.",Muy probable.,"Sí, sería muy útil.","Sí, sería muy útil."
2024-09-19 13:55:16.419,iOS,"Manualmente, revisando los horarios disponibles.",Moderado.,1-2 horas.,Pocas veces (1-2 veces).,No.,Sí.,"Compatibilidad con otras actividades (trabajo, vida personal).",Teléfono móvil.,"Sí, definitivamente.",En formato de calendario semanal.,Muy útil.,Solo si el costo es bajo.,"Sí, sería útil.",Probable.,Moderadamente importante.,"Sí, mucho.",Muy probable.,Podría ser interesante.,"Sí, sería muy útil."
2024-09-19 15:13:49.426,Android,"Manualmente, revisando los horarios disponibles.",Moderado.,Menos de 1 hora.,Nunca,No.,Sí.,Disponibilidad de las materias.,Teléfono móvil.,"Sí, definitivamente.",En formato de calendario semanal.,Muy útil.,Sí.,"Sí, sería útil.",Muy probable.,Muy importante.,"Sí, mucho.",Muy probable.,"Sí, sería muy útil.",Podría ser interesante.
2024-09-29 23:04:12.704,iOS,"Manualmente, revisando los horarios disponibles.",Moderado.,1-2 horas.,Pocas veces (1-2 veces).,No.,Sí.,"Compatibilidad con otras actividades (trabajo, vida personal).",Teléfono móvil.,"Sí, definitivamente.",En formato de calendario semanal.,Muy útil.,Sí.,"Sí, sería útil.",Muy probable.,Muy importante.,"Sí, mucho.",Muy probable.,Podría ser interesante.,Podría ser interesante.
2024-09-29 23:09:44.122,iOS,Usando herramientas de la institución.,Moderado.,1-2 horas.,Nunca,No.,Sí.,Disponibilidad de las materias.,Teléfono móvil.,"Sí, definitivamente.",En una lista de materias y horarios.,Muy útil.,Sí.,"Sí, sería útil.",Muy probable.,Muy importante.,"Sí, mucho.",Muy probable.,"Sí, sería muy útil.","Sí, sería muy útil."
2024-09-29 23:14:15.272,iOS,"Manualmente, revisando los horarios disponibles.",Moderado.,1-2 horas.,Nunca,No.,Sí.,Tiempo entre clases.,Computadora portátil.,"Sí, definitivamente.",En una lista de materias y horarios.,Muy útil.,No.,"Sí, sería útil.",Probable.,Muy importante.,Moderadamente.,Moderadamente probable.,"Sí, sería muy útil.","Sí, sería muy útil."
2024-09-29 23:15:54.251,Android,Usando herramientas de la institución.,Moderado.,Menos de 1 hora.,Nunca,No.,Tal vez.,Disponibilidad de las materias.,Teléfono móvil.,"Sí, definitivamente.",En bloques de tiempo visuales.,Muy útil.,Solo si el costo es bajo.,"Sí, sería útil.",Probable.,Muy importante.,"Sí, mucho.",Muy probable.,"Sí, sería muy útil.","Sí, sería muy útil."
2024-09-29 23:15:58.299,Android,Usando herramientas de la institución.,Moderado.,Menos de 1 hora.,Pocas veces (1-2 veces).,Sí.,Sí.,"Compatibilidad con otras actividades (trabajo, vida personal).",Teléfono móvil.,"Sí, definitivamente.",En formato de calendario semanal.,Muy útil.,Solo si el costo es bajo.,No estoy seguro/a.,Muy probable.,Muy importante.,"Sí, mucho.",Muy probable.,"Sí, sería muy útil.","Sí, sería muy útil."
2024-09-29 23:22:21.067,Android,Con la ayuda de aplicaciones externas.,Fácil.,1-2 horas.,Frecuentemente (3-5 veces).,Sí.,Sí.,"Compatibilidad con otras actividades (trabajo, vida personal).",Teléfono móvil.,"Sí, definitivamente.",En formato de calendario semanal.,Muy útil.,Solo si el costo es bajo.,No estoy seguro/a.,Muy probable.,Muy importante.,"Sí, mucho.",Muy probable.,Podría ser interesante.,"Sí, sería muy útil."
2024-09-29 23:33:57.871,Android,"Manualmente, revisando los horarios disponibles.",Fácil.,Menos de 1 hora.,Nunca,No.,Tal vez.,Disponibilidad de las materias.,Teléfono móvil.,"Sí, podría ser útil.",En formato de calendario semanal.,Muy útil.,Sí.,"Sí, sería útil.",Probable.,Muy importante.,Moderadamente.,Muy probable.,"Sí, sería muy útil.","Sí, sería muy útil."
2024-09-30 06:47:37.823,Android,"Manualmente, revisando los horarios disponibles.",Difícil.,1-2 horas.,Pocas veces (1-2 veces).,Sí.,Sí.,"Compatibilidad con otras actividades (trabajo, vida personal).",Teléfono móvil.,"Sí, definitivamente.",En bloques de tiempo visuales.,Muy útil.,Sí.,"Sí, sería útil.",Muy probable.,Muy importante.,"Sí, mucho.",Moderadamente probable.,"Sí, sería muy útil.","Sí, sería muy útil."
2024-09-30 15:19:30.159,iOS,"Manualmente, revisando los horarios disponibles.",Fácil.,1-2 horas.,Pocas veces (1-2 veces).,No.,Sí.,Disponibilidad de las materias.,Teléfono móvil.,"Sí, definitivamente.",En una lista de materias y horarios.,Muy útil.,Sí.,"Sí, sería útil.",Probable.,Moderadamente importante.,Moderadamente.,Moderadamente probable.,"Sí, sería muy útil.","Sí, sería muy útil."
2024-10-01 13:05:07.517,Android,"Manualmente, revisando los horarios disponibles.",Muy difícil.,1-2 horas.,Pocas veces (1-2 veces).,Sí.,Sí.,Disponibilidad de las materias.,Teléfono móvil.,"Sí, definitivamente.",En una lista de materias y horarios.,Moderadamente útil.,Sí.,"Sí, sería útil.",Muy probable.,Muy importante.,"Sí, mucho.",Muy probable.,"Sí, sería muy útil.","Sí, sería muy útil."
2024-10-01 13:47:34.592,Android,"Manualmente, revisando los horarios disponibles.",Moderado.,1-2 horas.,Frecuentemente (3-5 veces).,No.,Sí.,Tiempo entre clases.,Teléfono móvil.,"Sí, podría ser útil.",En formato de calendario semanal.,Moderadamente útil.,No.,"Sí, sería útil.",Probable.,Muy importante.,"Sí, mucho.",Moderadamente probable.,Podría ser interesante.,"Sí, sería muy útil."
2024-10-01 14:00:27.655,iOS,Usando herramientas de la institución.,Difícil.,1-2 horas.,Pocas veces (1-2 veces).,No.,Sí.,Tiempo entre clases.,Computadora portátil.,"Sí, definitivamente.",En formato de calendario semanal.,Muy útil.,Solo si el costo es bajo.,"Sí, sería útil.",Muy probable.,Moderadamente importante.,"Sí, mucho.",Muy probable.,Podría ser interesante.,"Sí, sería muy útil."
2024-10-01 14:03:02.923,Android,"Manualmente, revisando los horarios disponibles.",Difícil.,2-4 horas.,Pocas veces (1-2 veces).,No.,Sí.,Disponibilidad de las materias.,Teléfono móvil.,"Sí, definitivamente.",En bloques de tiempo visuales.,Moderadamente útil.,Solo si el costo es bajo.,No estoy seguro/a.,Muy probable.,Muy importante.,"Sí, mucho.",Muy probable.,"Sí, sería muy útil.",Podría ser interesante.
2024-10-01 15:02:37.805,Android,Con la ayuda de aplicaciones externas.,Fácil.,Menos de 1 hora.,Nunca,No.,Tal vez.,Profesores específicos.,Computadora portátil.,"Sí, podría ser útil.",En bloques de tiempo visuales.,Moderadamente útil.,Solo si el costo es bajo.,"Sí, sería útil.",Poco probable.,Moderadamente importante.,Moderadamente.,Moderadamente probable.,Podría ser interesante.,Podría ser interesante.
2024-10-01 15:13:40.598,iOS,"Manualmente, revisando los horarios disponibles.",Muy difícil.,Menos de 1 hora.,Nunca,No.,Sí.,Tiempo entre clases.,Tableta.,"Sí, definitivamente.",En formato de calendario semanal.,Moderadamente útil.,No.,No estoy seguro/a.,Poco probable.,Muy importante.,Moderadamente.,Poco probable.,"Sí, sería muy útil.",No lo necesito.
2024-10-01 15:30:28.292,Android,"Manualmente, revisando los horarios disponibles.",Moderado.,Menos de 1 hora.,Frecuentemente (3-5 veces).,No.,Sí.,Profesores específicos.,Computadora portátil.,"Sí, definitivamente.",Todos los anteriores,Muy útil.,Solo si el costo es bajo.,"Sí, sería útil.",Muy probable.,Muy importante.,"Sí, mucho.",Muy probable.,"Sí, sería muy útil.","Sí, sería muy útil."
2024-10-01 15:34:46.871,iOS,"Manualmente, revisando los horarios disponibles.",Moderado.,1-2 horas.,Pocas veces (1-2 veces).,No.,Sí.,Tiempo entre clases.,Computadora portátil.,"Sí, definitivamente.",En formato de calendario semanal.,Moderadamente útil.,No.,"No, no lo necesito.",Muy probable.,Moderadamente importante.,Moderadamente.,Moderadamente probable.,"Sí, sería muy útil.",Podría ser interesante.
2024-10-01 15:35:44.852,iOS,Usando herramientas de la institución.,Moderado.,1-2 horas.,Pocas veces (1-2 veces).,Sí.,No.,Tiempo entre clases.,Computadora portátil.,"Sí, podría ser útil.",En formato de calendario semanal.,Muy útil.,Sí.,"Sí, sería útil.",Muy probable.,Muy importante.,"Sí, mucho.",Muy probable.,"Sí, sería muy útil.","Sí, sería muy útil."
2024-10-01 15:36:32.727,iOS,"Manualmente, revisando los horarios disponibles.",Difícil.,1-2 horas.,Pocas veces (1-2 veces).,No.,Sí.,Tiempo entre clases.,Computadora portátil.,"Sí, definitivamente.",En formato de calendario semanal.,Muy útil.,Sí.,"Sí, sería útil.",Muy probable.,Moderadamente importante.,"Sí, mucho.",Moderadamente probable.,"Sí, sería muy útil.","Sí, sería muy útil."
2024-10-01 15:37:10.929,iOS,Usando herramientas de la institución.,Difícil.,1-2 horas.,Pocas veces (1-2 veces).,Sí.,No.,Tiempo entre clases.,Computadora portátil.,"Sí, definitivamente.",En una lista de materias y horarios.,Muy útil.,Sí.,"Sí, sería útil.",Muy probable.,Muy importante.,"Sí, mucho.",Muy probable.,"Sí, sería muy útil.","Sí, sería muy útil."
2024-10-01 15:37:40.901,iOS,Usando herramientas de la institución.,Difícil.,1-2 horas.,Pocas veces (1-2 veces).,Sí.,Sí.,Tiempo entre clases.,Computadora portátil.,"Sí, definitivamente.",En una lista de materias y horarios.,Muy útil.,Sí.,"Sí, sería útil.",Muy probable.,Muy importante.,"Sí, mucho.",Muy probable.,"Sí, sería muy útil.","Sí, sería muy útil."
2024-10-01 15:37:42.578,Android,"Manualmente, revisando los horarios disponibles.",Muy difícil.,Más de 4 horas.,Pocas veces (1-2 veces).,Sí.,Sí.,Tiempo entre clases.,Teléfono móvil.,"Sí, definitivamente.",En formato de calendario semanal.,Muy útil.,Sí.,"Sí, sería útil.",Muy probable.,Muy importante.,"Sí, mucho.",Muy probable.,"Sí, sería muy útil.","Sí, sería muy útil."
2024-10-01 15:38:09.494,iOS,Usando herramientas de la institución.,Moderado.,1-2 horas.,Pocas veces (1-2 veces).,Sí.,Sí.,Tiempo entre clases.,Computadora portátil.,"Sí, definitivamente.",En formato de calendario semanal.,Muy útil.,Sí.,"Sí, sería útil.",Muy probable.,Muy importante.,"Sí, mucho.",Muy probable.,"Sí, sería muy útil.","Sí, sería muy útil."
2024-10-01 15:38:19.082,Android,"Manualmente, revisando los horarios disponibles.",Muy difícil.,2-4 horas.,Pocas veces (1-2 veces).,Sí.,Sí.,"Compatibilidad con otras actividades (trabajo, vida personal).",Teléfono móvil.,"Sí, definitivamente.",En formato de calendario semanal.,Muy útil.,Sí.,"Sí, sería útil.",Muy probable.,Muy importante.,"Sí, mucho.",Muy probable.,"Sí, sería muy útil.","Sí, sería muy útil."
2024-10-01 15:38:52.470,iOS,"Manualmente, revisando los horarios disponibles.",Muy difícil.,Más de 4 horas.,Pocas veces (1-2 veces).,Sí.,Sí.,Disponibilidad de las materias.,Teléfono móvil.,"Sí, definitivamente.",En formato de calendario semanal.,Muy útil.,Sí.,"Sí, sería útil.",Muy probable.,Muy importante.,"Sí, mucho.",Muy probable.,"Sí, sería muy útil.","Sí, sería muy útil."
2024-10-01 15:40:20.001,Android,"Manualmente, revisando los horarios disponibles.",Moderado.,1-2 horas.,Frecuentemente (3-5 veces).,Sí.,Sí.,Disponibilidad de las materias.,Computadora portátil.,"Sí, definitivamente.",En formato de calendario semanal.,Muy útil.,Sí.,"Sí, sería útil.",Muy probable.,Muy importante.,"Sí, mucho.",Muy probable.,"Sí, sería muy útil.","Sí, sería muy útil."
2024-10-01 15:41:04.449,Android,Usando herramientas de la institución.,Moderado.,Menos de 1 hora.,Pocas veces (1-2 veces).,Sí.,Sí.,"Compatibilidad con otras actividades (trabajo, vida personal).",Computadora portátil.,"Sí, definitivamente.",En formato de calendario semanal.,Muy útil.,Solo si el costo es bajo.,No estoy seguro/a.,Probable.,Moderadamente importante.,Moderadamente.,Muy probable.,Podría ser interesante.,"Sí, sería muy útil."
2024-10-01 15:41:05.203,Android,"Manualmente, revisando los horarios disponibles.",Moderado.,1-2 horas.,Pocas veces (1-2 veces).,No.,Sí.,Tiempo entre clases.,Teléfono móvil.,"Sí, definitivamente.",En formato de calendario semanal.,Muy útil.,Sí.,"Sí, sería útil.",Muy probable.,Muy importante.,"Sí, mucho.",Muy probable.,"Sí, sería muy útil.","Sí, sería muy útil."
2024-10-01 15:41:54.302,Android,"Manualmente, revisando los horarios disponibles.",Fácil.,2-4 horas.,Pocas veces (1-2 veces).,No.,Tal vez.,Disponibilidad de las materias.,Teléfono móvil.,"Sí, podría ser útil.",En bloques de tiempo visuales.,Moderadamente útil.,Solo si el costo es bajo.,"No, no lo necesito.",Probable.,Poco importante.,Poco.,Poco probable.,"Sí, sería muy útil.","Sí, sería muy útil."
2024-10-01 15:42:40.021,Android,Con la ayuda de aplicaciones externas.,Fácil.,1-2 horas.,Nunca,Sí.,Tal vez.,"Compatibilidad con otras actividades (trabajo, vida personal).",Teléfono móvil.,"Sí, definitivamente.",En bloques de tiempo visuales.,Muy útil.,No.,No estoy seguro/a.,Probable.,Muy importante.,"Sí, mucho.",Moderadamente probable.,Podría ser interesante.,Podría ser interesante.
2024-10-01 15:43:18.378,Android,"Manualmente, revisando los horarios disponibles.",Difícil.,1-2 horas.,Pocas veces (1-2 veces).,Sí.,Sí.,Tiempo entre clases.,Computadora portátil.,"Sí, definitivamente.",En formato de calendario semanal.,Muy útil.,Sí.,"Sí, sería útil.",Muy probable.,Muy importante.,"Sí, mucho.",Muy probable.,"Sí, sería muy útil.","Sí, sería muy útil."
2024-10-01 15:43:56.519,Android,"Manualmente, revisando los horarios disponibles.",Muy difícil.,2-4 horas.,Pocas veces (1-2 veces).,No.,Sí.,Disponibilidad de las materias.,Computadora portátil.,"Sí, definitivamente.",En formato de calendario semanal.,Muy útil.,Sí.,"Sí, sería útil.",Muy probable.,Muy importante.,"Sí, mucho.",Muy probable.,"Sí, sería muy útil.","Sí, sería muy útil."
2024-10-01 15:44:15.433,Android,"Manualmente, revisando los horarios disponibles.",Difícil.,1-2 horas.,Frecuentemente (3-5 veces).,No.,Sí.,Tiempo entre clases.,Teléfono móvil.,"Sí, definitivamente.",En una lista de materias y horarios.,Muy útil.,Sí.,"Sí, sería útil.",Muy probable.,Muy importante.,"Sí, mucho.",Muy probable.,"Sí, sería muy útil.","Sí, sería muy útil."
2024-10-01 15:44:16.660,Android,"Manualmente, revisando los horarios disponibles.",Fácil.,Menos de 1 hora.,Nunca,No.,No.,Disponibilidad de las materias.,Teléfono móvil.,"Sí, definitivamente.",En bloques de tiempo visuales.,Moderadamente útil.,No.,"No, no lo necesito.",Probable.,Muy importante.,Moderadamente.,Moderadamente probable.,"Sí, sería muy útil.",Podría ser interesante.
2024-10-01 15:44:21.547,Android,"Manualmente, revisando los horarios disponibles.",Difícil.,Menos de 1 hora.,Pocas veces (1-2 veces).,No.,Sí.,Disponibilidad de las materias.,Teléfono móvil.,"Sí, definitivamente.",En una lista de materias y horarios.,Muy útil.,Sí.,"Sí, sería útil.",Muy probable.,Moderadamente importante.,"Sí, mucho.",Muy probable.,Podría ser interesante.,Podría ser interesante.
2024-10-01 15:47:15.774,iOS,"Manualmente, revisando los horarios disponibles.",Moderado.,Menos de 1 hora.,Pocas veces (1-2 veces).,No.,Sí.,Disponibilidad de las materias.,Computadora portátil.,"Sí, podría ser útil.",En formato de calendario semanal.,Muy útil.,Solo si el costo es bajo.,"Sí, sería útil.",Probable.,Moderadamente importante.,Poco.,Moderadamente probable.,Podría ser interesante.,"Sí, sería muy útil."
2024-10-01 15:54:59.319,Android,"Manualmente, revisando los horarios disponibles.",Difícil.,Menos de 1 hora.,Pocas veces (1-2 veces).,Sí.,Sí.,"Compatibilidad con otras actividades (trabajo, vida personal).",Teléfono móvil.,"Sí, podría ser útil.",En una lista de materias y horarios.,Muy útil.,Sí.,"Sí, sería útil.",Muy probable.,Muy importante.,Moderadamente.,Muy probable.,Podría ser interesante.,Podría ser interesante.
2024-10-01 16:02:34.201,iOS,"Manualmente, revisando los horarios disponibles.",Moderado.,2-4 horas.,Frecuentemente (3-5 veces).,Sí.,Tal vez.,Disponibilidad de las materias.,Teléfono móvil.,"Sí, definitivamente.",En una lista de materias y horarios.,Muy útil.,Solo si el costo es bajo.,"Sí, sería útil.",Muy probable.,Muy importante.,"Sí, mucho.",Muy probable.,"Sí, sería muy útil.","Sí, sería muy útil."
2024-10-01 16:07:15.481,Android,Con la ayuda de aplicaciones externas.,Muy difícil.,2-4 horas.,Nunca,No.,Sí.,Tiempo entre clases.,Tableta.,"Sí, podría ser útil.",En bloques de tiempo visuales.,Muy útil.,Sí.,"No, no lo necesito.",Probable.,Moderadamente importante.,Poco.,Moderadamente probable.,"Sí, sería muy útil.","Sí, sería muy útil."
2024-10-01 16:37:58.028,Android,"Manualmente, revisando los horarios disponibles.",Moderado.,2-4 horas.,Frecuentemente (3-5 veces).,No.,Sí.,"Compatibilidad con otras actividades (trabajo, vida personal).",Computadora portátil.,"Sí, definitivamente.",En una lista de materias y horarios.,Muy útil.,No.,"Sí, sería útil.",Probable.,Muy importante.,"Sí, mucho.",Moderadamente probable.,"Sí, sería muy útil.","Sí, sería muy útil."
