¿Con qué género te identificas?,¿A qué te dedicas actualmente?,¿En cual de las siguientes opciones prefieres anotar tus actividades?,"En una escala del 1 al 5, tomando en cuenta a 1 como muy raramente y 5 como muy frecuentemente, ¿cuán frecuentemente olvidas realizar tus actividades y tareas? ","En una escala del 1 al 5, tomando en cuenta a 1 como muy poco y 5 como muy cómodo/a, ¿Cómo tan cómodo/a te sientes al anotar tareas? ","Si tuvieras una aplicación para registrar todas tus actividades, ¿para qué ámbitos la usarías?","En una escala del 1 al 5, tomando en cuenta a 1 como nada y 5 como mucho, ¿Cuánto crees que te ayudaría una aplicación móvil para anotar tus actividades en tu productividad? ","En una escala del 1 al 5, tomando en cuenta a 1 como nada y 5 como mucho, ¿Cuánto te gusta que tu equipo de trabajo tenga un chat de mensajes?","En una escala del 1 al 5, tomando en cuenta a 1 como nada y 5 como mucho, ¿te gustaría que tu equipo de trabajo pudiera ver tus avances individuales?","En una escala del 1 al 5, tomando en cuenta a 1 como nada y 5 como mucho, ¿Cuánto te gustaría recibir notificaciones para recordarte las tareas pendientes?",¿De cuántas personas consta tu equipo de trabajo?,"En una escala del 1 al 5, tomando en cuenta a 1 como nada y 5 como mucho, ¿te gustaría organizar tus actividades por tipos o categorías?","En una escala del 1 al 5, tomando en cuenta a 1 como nada y 5 como mucho, ¿te gustaría dividir tus tareas en subtareas para monitorear tu progreso?","En una escala del 1 al 5, tomando en cuenta a 1 como nada y 5 como mucho, ¿Cuánto consideras que una recomendación sobre el orden para realizar tus tareas te ayudaría a mejorar tu productividad?","En una escala del 1 al 5, tomando en cuenta a 1 como nada y 5 como mucho, ¿consideras que el no tener anotadas tus tareas contribuye a la procrastinación?",¿Cómo te gustaría monitorear los avances en tus actividades? ,"En una escala del 1 al 5, tomando en cuenta a 1 como nada y 5 como mucho, ¿Cuánto te agrada obtener una gráfica de cómo fueron tus avances de productividad durante la semana?",¿Qué tipo de gráfica consideras que refleja mejor tus avances de tareas?,"En una escala del 1 al 5, tomando en cuenta a 1 como nada y 5 como mucho, ¿Qué tan importante crees que sea identificar por colores las actividades completadas de las que no?","En una escala del 1 al 5, tomando en cuenta a 1 como nada y 5 como mucho,  ¿Qué tan importante crees que sería para ti que la aplicación ofrezca la opción de cambiar entre temas además del claro y oscuro?",¿Con qué color asocias más que una tarea está completada?,¿Con qué color asocias más que una tarea está en proceso o con avances?,¿Con qué color asocias más que una tarea está sin iniciar o no fue hecha?,"En una escala del 1 al 5, tomando en cuenta a 1 como nada y 5 como mucho, ¿Qué tan interesado estarías en utilizar una aplicación que te ayude a anotar y organizar tus actividades diarias, además de proporcionarte un seguimiento de tus progresos durante la semana?"
prefiero no decirlo,estudiant,página de internet,1,3,"trabajo , escuela , salud , person",4,2,2,4,1-2 persona,5,5,5,2,día,2,histograma,5,5,azul marino,amarillo,azul,4
maculino,estudio y trabajo,programa para celular,3,3,"trabajo , escuela , person",3,3,3,3,3-5 persona,3,3,3,3,día,3,no utilizo gráfica,3,3,verd,naranja,rojo,3
maculino,estudiant,programa para celular,3,4,"trabajo , escuela , person , gestión del hogar",4,4,5,5,1-2 persona,4,5,4,5,día,4,lineal,5,2,verd,amarillo,rojo,5
femenino,estudiant,programa para celular,2,4,"trabajo , escuela , person , deport",3,4,4,5,6-10 persona,5,5,5,5,semana,3,circular,5,5,verd,amarillo,rojo,5
maculino,estudiant,libreta o agenda física,2,4,"trabajo , escuela , person , gestión del hogar",3,4,4,5,3-5 persona,5,5,3,5,semana,4,barra,5,5,verd,naranja,rojo,4
maculino,estudiant,programa para celular,5,3,"trabajo , escuela , person",5,5,4,5,3-5 persona,4,3,2,5,día,4,circular,4,3,verd,naranja,gri,5
maculino,estudiant,programa para celular,4,3,escuela,3,3,3,3,3-5 persona,3,3,3,3,semana,3,lineal,3,3,amarillo,celest,negro,3
maculino,trabajador,libreta o agenda física,2,5,deport,2,5,3,3,6-10 persona,4,3,4,5,semana,5,lineal,5,5,verd,amarillo,gri,4
maculino,estudiant,programa para celular,2,4,"escuela , salud , person , deport",4,4,3,5,3-5 persona,3,3,3,4,semana,3,barra,5,5,verd,amarillo,rojo,4
maculino,estudiant,no anoto mi actividad,2,3,"trabajo , escuela , person",5,5,5,5,3-5 persona,4,5,4,3,día,3,solo con el porcentaj,5,5,verd,amarillo,rojo,5
femenino,estudiant,programa para celular,5,2,"escuela , person",3,5,4,5,3-5 persona,5,3,4,5,semana,4,barra,5,3,verd,amarillo,rojo,3
maculino,estudiant,libreta o agenda física,2,5,"trabajo , escuela , salud , person , deport , gestión del hogar",5,5,3,5,3-5 persona,5,5,5,5,semana,3,circular,5,5,blanco,naranja,rojo,5
femenino,estudiant,libreta o agenda física,1,4,"trabajo , escuela , person",4,3,3,5,3-5 persona,5,5,4,3,día,4,barra,5,5,verd,naranja,rojo,4
maculino,estudio y trabajo,libreta o agenda física,1,3,"trabajo , escuela , person , gestión del hogar",3,3,3,4,3-5 persona,4,4,3,3,día,3,solo con el porcentaj,5,5,verd,celest,rojo,4
femenino,estudiant,libreta o agenda física,1,5,"trabajo , escuela",5,4,1,5,3-5 persona,3,5,5,1,día,1,barra,5,5,verd,amarillo,rojo,4
maculino,estudio y trabajo,libreta o agenda física,3,4,"trabajo , escuela , salud , person",5,5,5,4,3-5 persona,2,4,5,2,día,5,circular,5,5,verd,verd claro,rojo,5
femenino,estudiant,programa para celular,1,4,toda mi actividad cotidiana,4,3,3,5,1-2 persona,5,4,4,3,semana,4,barra,5,4,verd,amarillo,rojo,5
maculino,estudiant,programa para celular,4,4,"trabajo , escuela , person , gestión del hogar",5,5,5,5,3-5 persona,5,5,5,5,semana,5,barra,5,5,verd,naranja,rojo,4
maculino,estudiant,programa para celular,3,4,"trabajo , escuela , salud , deport",4,4,2,4,3-5 persona,4,3,5,5,día,3,barra,3,3,verd,naranja,rojo,4
maculino,estudiant,programa para celular,3,3,"escuela , deport",5,3,2,5,3-5 persona,4,3,3,3,día,4,solo con el porcentaj,3,5,verd,naranja,rojo,4
maculino,estudiant,libreta o agenda física,4,4,escuela,5,5,5,4,3-5 persona,5,5,5,4,día,5,circular,5,5,verd,amarillo,rojo,4
maculino,estudio y trabajo,pizarra o tablero visibl,2,5,"trabajo , salud , gestión del hogar",3,5,3,5,3-5 persona,4,4,4,1,día,3,circular,3,3,verd,amarillo,rojo,4
maculino,trabajador,programa para celular,3,3,"trabajo , escuela , salud , deport , gestión del hogar",4,4,4,5,1-2 persona,4,5,4,4,semana,5,histograma,4,4,azul,celest,rojo,4
femenino,estudiant,no anoto mi actividad,1,1,"escuela , person",2,3,2,5,1-2 persona,2,3,2,1,día,3,lineal,3,5,verd,naranja,rojo,2
femenino,estudiant,libreta o agenda física,2,5,escuela,4,3,2,4,3-5 persona,5,4,3,4,semana,4,barra,5,5,verd,amarillo,rojo,5
maculino,estudio y trabajo,programa para celular,5,3,person,5,2,5,5,3-5 persona,5,4,5,3,día,5,solo con el porcentaj,5,5,verd,amarillo,rojo,5
maculino,estudio y trabajo,no anoto mi actividad,1,1,"trabajo , escuela , person",4,4,3,4,3-5 persona,4,5,4,3,día,3,barra,5,4,verd,amarillo,rojo,4
femenino,desempleado,libreta o agenda física,3,4,person,4,4,3,5,1-2 persona,5,3,5,4,semana,3,solo con el porcentaj,5,5,verd,amarillo,rojo,3
femenino,estudiant,programa para celular,4,4,"trabajo , escuela , person , deport , gestión del hogar",4,3,2,5,3-5 persona,4,3,5,5,día,2,solo con el porcentaj,4,2,verd,amarillo,rojo,5
maculino,estudio y trabajo,no anoto mi actividad,1,3,escuela,3,2,1,4,má de 10 persona,3,3,3,5,día,4,no utilizo gráfica,2,2,azul,celest,gri,3
femenino,estudiant,programa para celular,2,4,"trabajo , escuela , person",4,3,3,4,3-5 persona,4,5,4,3,día,4,barra,5,5,verd,amarillo,rojo,5
femenino,estudiant,programa para celular,3,4,"trabajo , escuela , person",5,4,3,5,3-5 persona,4,3,3,4,día,2,barra,5,5,verd,naranja,rojo,5
maculino,desempleado,no anoto mi actividad,4,3,person,3,2,2,4,1-2 persona,3,4,3,4,día,1,circular,4,3,verd,amarillo,rojo,3
maculino,estudiant,libreta o agenda física,4,3,escuela,5,3,2,5,3-5 persona,3,4,5,5,semana,3,solo con el porcentaj,5,5,verd,naranja,rojo,5
femenino,estudiant,libreta o agenda física,4,3,trabajo,3,2,2,5,3-5 persona,5,4,5,5,semana,4,lineal,5,4,verd,celest,rojo,5
maculino,estudiant,programa para celular,2,3,"trabajo , escuela , salud , person , gestión del hogar",5,3,1,4,3-5 persona,4,3,4,3,día,5,histograma,5,5,verd,amarillo,rojo,5
femenino,estudiant,libreta o agenda física,2,3,escuela,3,5,5,5,1-2 persona,3,3,5,1,día,4,histograma,3,4,verd,amarillo,rojo,5
femenino,estudiant,libreta o agenda física,2,5,"escuela , person",3,3,3,4,1-2 persona,5,5,5,5,semana,2,no utilizo gráfica,5,5,azul,amarillo,rojo,4
maculino,estudio y trabajo,no anoto mi actividad,3,1,escuela,2,4,2,4,3-5 persona,3,3,3,3,semana,3,barra,3,3,verd,naranja,rojo,3
femenino,estudiant,programa para celular,1,5,"trabajo , escuela , salud , person",5,5,2,5,6-10 persona,5,5,5,5,día,2,no utilizo gráfica,5,5,verd,amarillo,gri,5
femenino,estudiant,libreta o agenda física,2,4,"trabajo , escuela , salud , person",5,5,5,5,6-10 persona,4,4,4,4,semana,4,barra,5,4,verd,amarillo,rojo,5
maculino,estudiant,chat person de whatsapp,4,3,"trabajo , escuela , person",3,3,3,5,3-5 persona,3,2,3,4,día,2,solo con el porcentaj,4,3,verd,celest,gri si no se a iniciado y rojo si no fue hecha,3
femenino,estudiant,no anoto mi actividad,3,3,"trabajo , escuela , person , gestión del hogar",4,3,4,5,3-5 persona,5,5,5,5,día,4,circular,5,3,verd,amarillo,gri,4
femenino,estudiant,página de internet,3,3,escuela,4,3,2,5,3-5 persona,4,4,3,5,día,5,circular,5,5,verd,amarillo,rojo,5
maculino,estudiant,programa para celular,4,4,"escuela , person",5,4,3,5,3-5 persona,5,5,5,5,semana,5,circular,5,5,verd,amarillo,rojo,5
femenino,estudiant,libreta o agenda física,1,1,trabajo,5,2,1,5,3-5 persona,5,3,5,5,semana,1,barra,1,2,verd,amarillo,rojo,5
maculino,estudiant,ipad,3,4,"trabajo , escuela , person , deport",5,3,3,3,3-5 persona,5,4,4,4,semana,4,circular,4,4,verd,naranja,rojo,4
femenino,trabajador,libreta o agenda física,3,3,person,5,3,5,5,1-2 persona,3,3,5,5,semana,3,barra,5,5,verd,amarillo,rojo,4
femenino,estudiant,programa para celular,3,5,escuela,5,3,1,3,3-5 persona,3,3,3,4,día,3,barra,3,3,verd,naranja,rojo,3
femenino,estudiant,no anoto mi actividad,4,3,"trabajo , escuela , salud , person , gestión del hogar",5,4,2,5,3-5 persona,5,5,5,5,semana,4,lineal,5,2,verd,amarillo,rojo,5
maculino,estudiant,libreta o agenda física,1,1,escuela,4,5,4,3,1-2 persona,3,3,3,3,día,3,lineal,4,5,verd,naranja,gri,3
femenino,estudiant,programa para celular,2,4,"escuela , person",5,4,4,5,3-5 persona,5,5,5,3,día,3,circular,4,5,verd,naranja,rojo,5
maculino,estudiant,no anoto mi actividad,5,3,escuela,5,3,2,4,1-2 persona,5,3,5,5,semana,5,barra,5,5,azul,celest,rojo,5
femenino,estudiant,programa para celular,3,3,"escuela , person , gestión del hogar",5,3,3,4,6-10 persona,5,5,5,5,día,4,barra,4,4,verd,amarillo,rojo,5
maculino,estudiant,programa para celular,4,5,"trabajo , escuela , salud , person , deport , gestión del hogar",5,4,5,5,3-5 persona,5,5,4,4,semana,4,lineal,4,5,verd,amarillo,rojo,5
maculino,estudio y trabajo,programa para celular,2,4,"trabajo , escuela",4,4,5,5,3-5 persona,5,5,4,3,día,5,lineal,5,2,verd,amarillo,rojo,5
